Position,Track Name,Artist,Streams,URL,country
138,Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,34154,https://open.spotify.com/track/031jyNUkkD02vrkgZDGJxu,Vietnam
139,Đâu Cần Một Bài Ca Tình Yêu,Tien Tien,34094,https://open.spotify.com/track/3ckraK42KnTt0Mk0b8pmA2,Vietnam
140,WAP (feat. Megan Thee Stallion),Cardi B,34002,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,Vietnam
141,Ngày Tận Thế,Tóc Tiên,33355,https://open.spotify.com/track/5Nd0com2T4rHRZO2YFwD2n,Vietnam
142,Nghe Em,Thịnh Suy,33310,https://open.spotify.com/track/5WHuqG7vz4Hy0BU47fPpVp,Vietnam
143,Nơi Mình Dừng Chân (Nhạc Phim Chị Trợ Lý Của Anh),Mỹ Tâm,33288,https://open.spotify.com/track/5U5aFzSWZVGe5gg8eCc8ft,Vietnam
144,Phút Ban Đầu,Vũ.,33080,https://open.spotify.com/track/3LGNVNZeEIUwdzDvnUO73V,Vietnam
145,Bao Tiền Một Mớ Bình Yên,14 Casper,32333,https://open.spotify.com/track/7IerPeiRJsJfVaPW73GmbS,Vietnam
146,Đường Một Chiều,Huỳnh Tú,32182,https://open.spotify.com/track/52oyR8Wjhdzg7zucr8keYl,Vietnam
147,Tháng 4 Là Lời Nói Dối Của Em,Ha Anh Tuan,32173,https://open.spotify.com/track/6v2XzgdJRZIdRbxD5euMal,Vietnam
148,Nhạc Anh,Andree Right Hand,32153,https://open.spotify.com/track/6j63ufOKdWN0OTKam1r3P0,Vietnam
149,Tiền Nhiều Để Làm Gì (feat. Gducky),RAP VIỆT,31957,https://open.spotify.com/track/79ME0P8ch9estARqe674HK,Vietnam
150,Without Me,Halsey,31692,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,Vietnam
151,"Giàu Vì Bạn, Sang Vì Vợ (feat. RPT MCK)",RAP VIỆT,31672,https://open.spotify.com/track/0ljbDAWHXvX6Fbqy2qs98U,Vietnam
152,CUA,MANBO,31504,https://open.spotify.com/track/0fQwc4J9fPyRac81VOtAC3,Vietnam
153,Cho Tôi Lang Thang,Ngọt,31478,https://open.spotify.com/track/7gxlKu5NBdbOHD5aHBAouf,Vietnam
154,MOT NGUOI VI EM,Wean,31074,https://open.spotify.com/track/6lmJXxTcLTe6bdgwSfTqhO,Vietnam
155,Arcade,Duncan Laurence,30991,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C,Vietnam
156,Love Is Gone - Acoustic,SLANDER,30952,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx,Vietnam
157,willow,Taylor Swift,30891,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D,Vietnam
158,Heather,Conan Gray,30850,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,Vietnam
159,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,30849,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL,Vietnam
160,Levitating (feat. DaBaby),Dua Lipa,30686,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,Vietnam
161,Trên Tình Bạn Dưới Tình Yêu (with 16 Typh),MIN,30660,https://open.spotify.com/track/4nsNzuB6sGMr5MHaIJaW5k,Vietnam
